,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Unnamed,Area,Aspect Ratio,Centers,Perimeter,Circularity,NuclearDensity,Labels
9236,733269,13269,2894799,45,469.4607696533203,0.6764705882352942,"[2043, 954]",84.4805064201355,0.8266014319402926,9,0
152778,178382,88382,1434844,42,340.09329986572266,0.7857142857142857,"[1417, 1389]",72.63368844985962,0.8100871483314129,9,0
55191,425861,65861,2055138,70,443.3965225219727,0.9032258064516128,"[1016, 644]",86.07123708724976,0.7521181283294688,30,2
518964,65713,65713,1358784,29,756.0860977172852,0.9444444444444444,"[1037, 1223]",105.06651449203493,0.8607013151132041,15,1
143916,608854,68854,499722,14,452.9125175476074,0.9615384615384616,"[522, 583]",77.16886782646179,0.9557403697310388,12,0
162847,572476,32476,3456747,64,256.13167572021484,0.782608695652174,"[1983, 446]",59.11979675292969,0.9208890102544184,27,2
229726,744226,24226,1634258,6,1008.0033302307128,0.7857142857142857,"[1114, 707]",114.498069524765,0.966218841706336,15,1
543024,339406,69406,105916,34,483.9508647918701,1.0,"[230, 1047]",80.1218034029007,0.9473483485585864,21,1
49737,161345,71345,1091705,25,597.6980438232422,0.8387096774193549,"[1223, 176]",88.25645589828491,0.9642701687169608,4,0
221531,291567,21567,3181917,44,828.8417205810547,0.9705882352941176,"[2039, 1223]",104.20910429954527,0.9591138038094013,12,0
283507,515525,65525,3456206,191,298.3516998291016,0.4242424242424242,"[1716, 1336]",73.3116022348404,0.6975782934855451,15,1
469992,298350,28350,1936941,15,233.173376083374,0.85,"[1293, 145]",55.035661935806274,0.967387421842002,18,1
66015,424195,64195,1328086,51,347.9225616455078,0.9166666666666666,"[1695, 1243]",69.71711838245392,0.8995257499511023,9,0
487509,878059,68059,1950005,56,270.4383087158203,0.6666666666666666,"[1415, 920]",61.94998896121979,0.8855143605658896,60,2
540972,601776,61776,1874844,37,849.2491283416748,0.9714285714285714,"[1359, 285]",105.2736361026764,0.962954410746116,21,1
47380,273203,3203,2763996,9,456.26881408691406,1.0,"[1629, 1832]",76.31914448738098,0.9843819982206028,6,0
532927,719333,89333,1119980,71,170.88154983520508,0.9411764705882352,"[998, 359]",47.53402626514435,0.9503768188619072,15,1
36558,671760,41760,4355706,56,210.3925018310547,0.6363636363636364,"[2326, 1763]",54.37523126602173,0.8942066345942039,9,0
171851,782574,62574,1838296,0,1294.293544769287,0.9761904761904762,"[1149, 805]",129.24869799613953,0.9736218134311568,6,0
590758,817194,7194,2881083,75,420.4302368164063,0.75,"[1871, 1129]",75.50079798698425,0.9268313658564477,30,2
224739,540988,988,997985,87,201.22789764404297,0.9444444444444444,"[863, 1230]",51.86825740337372,0.9399283285879938,24,1
218425,514582,64582,19718,54,1112.154712677002,0.813953488372093,"[100, 1006]",119.8250732421875,0.9733738268068036,15,1
51496,234327,54327,1016733,65,737.1678524017334,0.9090909090909092,"[291, 882]",97.18506026268004,0.9807927230872509,21,1
268562,753906,33906,1749088,53,1062.0951385498047,0.926829268292683,"[1191, 1753]",120.63567399978638,0.9171107308431558,15,1
180985,752746,32746,660044,54,1184.2874689102173,0.6078431372549019,"[521, 207]",130.55271410942078,0.8731627260387499,12,0
223587,120,120,521613,30,231.9985122680664,0.7272727272727273,"[568, 874]",56.47556793689728,0.9140582017516656,21,1
406329,800659,80659,3138304,21,466.95643615722656,0.5,"[2203, 898]",90.49594569206238,0.7165194504458348,3,0
449640,804690,84690,886977,16,474.15749168396,0.8888888888888888,"[660, 299]",78.01825881004333,0.9789037080038112,12,0
42230,378151,18151,1456852,39,614.6901245117188,0.90625,"[2188, 1123]",90.58733558654784,0.941306651917755,15,1
584596,594847,54847,3432315,101,533.7322998046875,0.8709677419354839,"[1825, 1030]",87.02916097640991,0.8855309740061922,39,2
331458,601073,61073,969564,4,360.5053329467773,0.84,"[728, 1737]",68.48055076599121,0.9660221144002052,12,0
563286,221743,41743,2727070,56,233.833236694336,0.40625,"[1241, 1617]",70.09603136777878,0.5980386394968955,9,0
165736,643726,13726,4436971,70,203.31448364257807,0.8636363636363636,"[2159, 1839]",60.32702100276947,0.7020279801779374,9,0
454550,255264,75264,252038,33,491.2375183105469,0.8275862068965517,"[1790, 1564]",79.65836000442505,0.9728338436979904,24,1
139470,398538,38538,176128,72,617.5752258300781,0.6857142857142857,"[2119, 1241]",92.28554320335388,0.9112391790922096,6,0
459087,818978,8978,1651105,33,566.1366653442383,0.9310344827586208,"[1324, 690]",85.19126796722412,0.9802593243494856,12,0
286375,756253,36253,1594434,29,903.9729614257812,0.8421052631578947,"[1163, 1039]",108.29489278793336,0.9686109028382824,12,0
566260,407364,47364,1956921,0,403.8037185668945,0.92,"[813, 1737]",72.09154093265533,0.9763635571146538,15,1
334188,283688,13688,2874902,9,472.05859375,0.925925925925926,"[1649, 1256]",79.59987497329712,0.9362266539404758,9,0
492543,269609,89609,1874931,34,408.8329391479492,0.8666666666666667,"[779, 1104]",82.81152474880219,0.7491593099958521,51,2
571662,22291,22291,1821461,9,682.7480010986328,0.7435897435897436,"[1229, 1733]",101.9127563238144,0.8260630681809199,18,1
468937,680150,50150,2280817,37,1202.60205078125,0.8444444444444444,"[1259, 818]",127.082102060318,0.9357568703566702,6,0
289844,76134,76134,2460430,16,828.5347442626953,0.6222222222222222,"[1423, 1430]",111.16714811325072,0.8424956366989339,15,1
208035,237795,57795,1352733,33,839.9974880218506,0.9142857142857144,"[480, 627]",103.81002736091614,0.979510825890333,24,1
558280,856922,46922,3846504,88,323.2529296875,0.9545454545454546,"[2214, 428]",64.5992796421051,0.9734126445844068,27,2
216150,48299,48299,1619433,21,1329.023639678955,0.9130434782608696,"[1213, 633]",133.67173624038696,0.9346809510804328,18,1
349376,508137,58137,1196423,85,482.9973831176758,0.8214285714285714,"[788, 877]",79.16285181045532,0.9685271055856172,21,1
179723,641099,11099,2812775,49,190.0812530517578,0.6190476190476191,"[1476, 1236]",51.26200532913208,0.9089876179941464,24,1
169981,546675,6675,2985603,55,553.6305656433105,0.896551724137931,"[1761, 339]",85.3161951303482,0.9557998666120447,21,1
218227,809047,89047,1683086,15,361.5776062011719,0.8,"[1168, 1698]",69.9310474395752,0.929118960469144,21,1
100649,180611,611,173275,46,125.08349609375,0.6111111111111112,"[1739, 2038]",43.68112635612488,0.8238008169784454,27,2
32950,160975,70975,827323,82,1610.8750915527344,0.6666666666666666,"[958, 1460]",147.69051551818848,0.9280396196334122,6,0
38152,627126,87126,2667143,21,583.6499252319336,0.6857142857142857,"[1673, 1333]",89.50382089614868,0.915543844288062,9,0
235595,239577,59577,261883,62,273.0887031555176,0.7037037037037037,"[1792, 466]",68.28864967823029,0.7358961803566576,24,1
151286,152969,62969,1100811,6,601.6486892700195,0.9333333333333332,"[1218, 387]",88.07619428634644,0.9746209832041216,3,0
389426,720079,79,1789604,81,268.82454681396484,0.8181818181818182,"[1144, 1195]",60.022793650627136,0.9376621303272208,15,1
69192,539251,89251,4172275,74,841.1589508056641,0.8378378378378378,"[1977, 827]",106.80170440673828,0.9266837931720028,33,2
529507,681415,51415,527470,157,364.4758071899414,0.88,"[700, 1483]",70.78438949584961,0.914120795884344,21,1
286361,245658,65658,1284320,25,496.90098762512207,0.896551724137931,"[435, 1042]",82.0931031703949,0.9265447056406282,27,2
265440,537221,87221,4032252,36,310.1108589172363,0.8636363636363636,"[1967, 329]",63.78326678276062,0.9578848853088956,72,2
408307,749539,29539,816821,46,307.4429807662964,0.9523809523809524,"[612, 146]",63.6017017364502,0.955073894474726,36,2
546685,499302,49302,2446191,65,409.03723907470703,0.8846153846153846,"[1239, 983]",77.04599523544312,0.8659096375246405,21,1
75783,396048,36048,986397,90,423.9178314208984,0.4594594594594595,"[1582, 1669]",84.40026354789734,0.7478318252776832,15,1
247681,497187,47187,1009992,44,638.8612518310547,0.935483870967742,"[502, 1184]",90.76111721992493,0.9745783194575356,21,1
104425,235635,55635,3132845,47,1300.2114791870115,0.9767441860465116,"[1412, 1075]",130.18756103515625,0.9640174120849572,21,1
242435,363320,3320,2658261,11,901.1888427734376,0.7142857142857143,"[1240, 1756]",109.59524178504944,0.9428492763117674,9,0
470635,396990,36990,496011,358,212.8711471557617,0.8421052631578947,"[485, 1606]",53.03181254863739,0.9511603165774872,39,2
393216,894035,84035,3377376,26,322.57789611816406,0.9565217391304348,"[2022, 793]",66.73886489868164,0.9100952284076536,42,2
406409,385575,25575,2112370,45,473.16259765625,0.5882352941176471,"[1105, 1712]",83.14621436595917,0.8600729919140697,21,1
194668,195141,15141,1745520,43,490.4149284362793,0.9629629629629628,"[724, 344]",79.48326349258423,0.9754885248808098,33,2
92771,312539,42539,1006734,39,1085.6175889968872,0.6326530612244898,"[738, 255]",124.4917368888855,0.8802492885289983,18,1
518022,414441,54441,2319803,33,215.7654037475586,0.9473684210526316,"[1079, 985]",54.93615448474884,0.8984112115829181,21,1
559894,574452,34452,3578469,113,265.11944580078125,0.6666666666666666,"[1986, 1477]",60.39572763442993,0.9133537399149284,45,2
165426,67113,67113,3345568,29,750.2423553466797,0.9393939393939394,"[2118, 1636]",99.03752374649048,0.9611958714193514,9,0
152638,557573,17573,3855064,36,695.681884765625,0.9375,"[2240, 1059]",94.29912781715392,0.9831170020378,9,0
345867,719471,89471,1225655,14,319.01420974731445,0.9090909090909092,"[923, 791]",64.44242191314697,0.9653308469837384,6,0
163382,268488,88488,2081409,67,156.06228065490723,0.631578947368421,"[901, 865]",47.670992612838745,0.8629774019789845,21,1
84457,250236,70236,449736,37,260.5813217163086,0.6923076923076923,"[1875, 1099]",65.32337164878845,0.7673896921704161,9,0
411719,722404,2404,1460447,51,956.7801704406738,0.6444444444444445,"[958, 624]",116.19796085357666,0.8904817360201336,15,1
62107,532449,82449,2004526,113,440.1237030029297,0.7241379310344828,"[1164, 1326]",76.39599108695984,0.9476402170261244,30,2
344036,623583,83583,1866618,1,370.1482543945313,0.9166666666666666,"[1209, 2089]",70.00005209445953,0.949268004847488,9,0
468696,214055,34055,3300105,19,707.6798906326294,0.65,"[1483, 207]",100.5942244529724,0.878821403426565,15,1
278532,354778,84778,2994086,38,723.4831581115723,0.9393939393939394,"[1912, 398]",97.51480722427368,0.956086435358638,15,1
120996,479950,29950,3589678,35,1643.6621437072754,0.8269230769230769,"[1806, 149]",148.27142906188965,0.9395231161677632,15,0
135849,854841,44841,2669213,67,369.6702423095703,0.6551724137931034,"[1682, 776]",73.84950518608093,0.8517834090687099,18,1
453866,280939,10939,957761,16,337.2137985229492,0.7037037037037037,"[737, 1231]",69.36634874343872,0.8806787783188443,12,0
154842,775644,55644,2583287,31,739.7581634521484,0.8285714285714286,"[1720, 1324]",97.7792809009552,0.9723126866905246,9,0
505231,830255,20255,338197,22,229.1737365722656,0.7727272727272727,"[571, 1713]",56.67110621929169,0.8967085887843858,21,1
77106,268020,88020,2907643,60,512.9660873413086,0.9642857142857144,"[1319, 1457]",81.4940538406372,0.9706142759514664,24,1
546315,66995,66995,2049558,10,792.9069900512695,0.8648648648648649,"[1180, 635]",103.39849638938904,0.931973714941547,18,1
22296,286540,16540,1698993,2,524.569580078125,0.8620689655172413,"[1193, 1795]",82.10174489021301,0.9779309515822612,21,1
454407,209525,29525,924663,132,149.70028686523438,0.875,"[2312, 532]",44.41557514667511,0.953590500567877,87,2
568837,242822,62822,3047765,66,224.7380104064941,0.782608695652174,"[1392, 547]",60.02748882770538,0.7837653230193289,24,1
489043,397166,37166,776744,32,443.67811393737793,0.8333333333333334,"[359, 1498]",82.80232298374176,0.8131914959155193,12,0
294759,104815,14815,1579210,62,1039.0305938720703,0.8636363636363636,"[1575, 1129]",122.39965343475342,0.8715209335394619,6,0
308606,109453,19453,663595,39,294.38555908203125,0.6666666666666666,"[702, 1523]",67.91789877414703,0.8019695584294628,3,0
146365,446913,86913,36460,25,570.7109355926514,0.9655172413793104,"[290, 1419]",85.85197257995605,0.9730283678187208,12,0
521829,401807,41807,1487143,18,266.4322052001953,0.95,"[2176, 1526]",58.75384557247162,0.9698933653568113,45,2
510451,60208,60208,721662,3,309.50190353393555,0.9523809523809524,"[668, 990]",63.00162875652313,0.9798726455878662,21,1
281958,249570,69570,2519041,25,944.8958358764648,0.918918918918919,"[1138, 1271]",110.36176061630248,0.9748921169142676,21,1
