,Area,Area,NuclearDensity,NuclearDensity,Aspect Ratio,Aspect Ratio,Circularity,Circularity
,mean,var,mean,var,mean,var,mean,var
Labels,,,,,,,,
0a,621.566854976606,168935.08211541636,12.3109243697479,2.6859915683445084,0.8096611773821046,0.020812625438130495,0.9054321288115561,0.006650352364518807
0b,657.9789906493548,168279.18404657542,6.004926108374384,0.03454357477345975,0.8239120907177074,0.01963392542075601,0.9102938907508527,0.007172652813182025
0c,617.0522347905203,121841.12445869156,9.0,0.036000000000000046,0.8212569468785501,0.018631128939887213,0.9084004485858612,0.0068850730996513326
0d,760.6063515158261,331992.96540911624,3.0271493212669682,0.06289592760180994,0.8431098471414357,0.017163958136820315,0.9305654629830028,0.00480829103839501
1a,520.9478221219198,64777.02310119631,15.004424778761061,0.01771873712301082,0.8141048664709163,0.018701095342838734,0.9121951522494889,0.005408018795413531
1b,475.0994046615518,58757.52229531191,21.0,0.014545454545454552,0.8112528069892329,0.017042129024492043,0.8983953640464822,0.007178964963485175
1c,504.2819463059418,68646.43393430844,17.992481203007518,0.007481014093021526,0.8169224478897348,0.01822804136012502,0.9068982252834913,0.00594430751126419
1d,471.92514258724145,52756.247809512904,24.0,0.0,0.8088014400951266,0.02025216736657418,0.9037786071451378,0.006638020640318244
2,341.90766445395724,35431.032795708066,39.22647702407002,208.86979107997533,0.8050557146070749,0.019582258979716702,0.8987514770435785,0.005899757985674462
