,Area,NuclearDensity,Aspect Ratio,Circularity
,mean,mean,mean,mean
Labels,,,,
0a,631.2525105045153,12.278260869565218,0.8188971797755894,0.9082456565113449
0b,684.70934619532,6.01038961038961,0.8401940077811898,0.9205601804155169
0c,619.3599067156828,8.992766726943943,0.8127591197567748,0.911678389105528
0d,779.7423484957495,3.0046511627906978,0.8339237770474942,0.9240727010493425
1a,546.3276494121359,15.01008064516129,0.8185107742277333,0.9070590316678663
1b,477.36917349486845,21.0,0.8074122958115189,0.8961926773725205
1c,513.3490765642385,17.991596638655462,0.8028470768520929,0.9010871362901731
1d,427.1363335194795,24.01304347826087,0.8112899505483676,0.9021717170935014
2,350.63959803099044,39.21910112359551,0.8127198481097834,0.8996892344913631
